Category,Review
0,"simplistic , silly and tedious ."
1,"the rock is destined to be the 21st century's new " conan " and that he's going to make a splash even greater than arnold schwarzenegger , jean-claud van damme or steven segal ."
0,"it's so laddish and juvenile , only teenage boys could possibly find it funny ."
1,"the gorgeously elaborate continuation of " the lord of the rings " trilogy is so huge that a column of words cannot adequately describe co-writer/director peter jackson's expanded vision of j . r . r . tolkien's middle-earth ."
0,"exploitative and largely devoid of the depth or sophistication that would make watching such a graphic treatment of the crimes bearable ."
1,"effective but too-tepid biopic"
0,"[garbus] discards the potential for pathological study , exhuming instead , the skewed melodrama of the circumstantial situation ."
1,"if you sometimes like to go to the movies to have fun , wasabi is a good place to start ."
0,"about the only thing to give the movie points for is bravado -- to take an entirely stale concept and push it through the audience's meat grinder one more time ."
1,"offers that rare combination of entertainment and education ."
0,"not so much farcical as sour ."
0,"all the more disquieting for its relatively gore-free allusions to the serial murders , but it falls down in its attempts to humanize its subject ."
1,"take care of my cat offers a refreshingly different slice of asian cinema ."
0,"while the performances are often engaging , this loose collection of largely improvised numbers would probably have worked better as a one-hour tv documentary ."
1,"what really surprises about wisegirls is its low-key quality and genuine tenderness ."
0,"interesting , but not compelling ."
1,"( wendigo is ) why we go to the cinema : to be fed through the eye , the heart , the mind ."
0,"on a cutting room floor somewhere lies . . . footage that might have made no such thing a trenchant , ironic cultural satire instead of a frustrating misfire ."
1,"one of the greatest family-oriented , fantasy-adventure movies ever ."
0,"while the ensemble player who gained notice in guy ritchie's lock , stock and two smoking barrels and snatch has the bod , he's unlikely to become a household name on the basis of his first starring vehicle ."
1,"ultimately , it ponders the reasons we need stories so much ."
0,"there is a difference between movies with the courage to go over the top and movies that don't care about being stupid"
1,"an utterly compelling 'who wrote it' in which the reputation of the most famous author who ever lived comes into question ."
0,"such master screenwriting comes courtesy of john pogue , the yale grad who previously gave us " the skulls " and last year's " rollerball . " enough said , except : film overboard !"
1,"a masterpiece four years in the making ."
0,"here , common sense flies out the window , along with the hail of bullets , none of which ever seem to hit sascha ."
0,"this 100-minute movie only has about 25 minutes of decent material ."
1,"offers a breath of the fresh air of true sophistication ."
0,"the execution is so pedestrian that the most positive comment we can make is that rob schneider actually turns in a pretty convincing performance as a prissy teenage girl ."
1,"with a cast that includes some of the top actors working in independent film , lovely & amazing involves us because it is so incisive , so bleakly amusing about how we go about our lives ."
1,"a disturbing and frighteningly evocative assembly of imagery and hypnotic music composed by philip glass ."
0,"a farce of a parody of a comedy of a premise , it isn't a comparison to reality so much as it is a commentary about our knowledge of films ."
1,"not for everyone , but for those with whom it will connect , it's a nice departure from standard moviegoing fare ."
1,"occasionally melodramatic , it's also extremely effective ."
0,"our culture is headed down the toilet with the ferocity of a frozen burrito after an all-night tequila bender — and i know this because i've seen 'jackass : the movie . '"
1,"spiderman rocks"
0,"the criticism never rises above easy , cynical potshots at morally bankrupt characters . . ."
1,"an idealistic love story that brings out the latent 15-year-old romantic in everyone ."
1,"at about 95 minutes , treasure planet maintains a brisk pace as it races through the familiar story . however , it lacks grandeur and that epic quality often associated with stevenson's tale as well as with earlier disney efforts ."
0,"stupid , infantile , redundant , sloppy , over-the-top , and amateurish . yep , it's " waking up in reno . " go back to sleep ."
0,"somewhere in the middle , the film compels , as demme experiments he harvests a few movie moment gems , but the field of roughage dominates ."
1,"guaranteed to move anyone who ever shook , rattled , or rolled ."
0,"the action clichés just pile up ."
1,"a masterful film from a master filmmaker , unique in its deceptive grimness , compelling in its fatalist worldview ."
0,"payami tries to raise some serious issues about iran's electoral process , but the result is a film that's about as subtle as a party political broadcast ."
1,"light , cute and forgettable ."
0,"the only surprise is that heavyweights joel silver and robert zemeckis agreed to produce this ; i assume the director has pictures of them cavorting in ladies' underwear ."
0,"another useless recycling of a brutal mid-'70s american sports movie ."
1,"though everything might be literate and smart , it never took off and always seemed static ."
0,"please , someone , stop eric schaeffer before he makes another film ."
1,"ms . fulford-wierzbicki is almost spooky in her sulky , calculating lolita turn ."
0,". . . if you're just in the mood for a fun -- but bad -- movie , you might want to catch freaks as a matinee ."
1,"though it is by no means his best work , laissez-passer is a distinguished and distinctive effort by a bona-fide master , a fascinating film replete with rewards to be had by all willing to make the effort to reap them ."
1,"like most bond outings in recent years , some of the stunts are so outlandish that they border on being cartoonlike . a heavy reliance on cgi technology is beginning to creep into the series ."
0,"though the opera itself takes place mostly indoors , jacquot seems unsure of how to evoke any sort of naturalism on the set ."
1,"newton draws our attention like a magnet , and acts circles around her better known co-star , mark wahlberg ."
0,"there's no getting around the fact that this is revenge of the nerds revisited -- again ."
0,"analyze that regurgitates and waters down many of the previous film's successes , with a few new swings thrown in ."
0,"with flashbulb editing as cover for the absence of narrative continuity , undisputed is nearly incoherent , an excuse to get to the closing bout . . . by which time it's impossible to care who wins ."
1,"the film makes a strong case for the importance of the musicians in creating the motown sound ."
